MAINTENANCE_AGENCY_ID,VARIABLE_SET_ID,NAME,CODE,DESCRIPTION
ECB6,ECB6_EBA_432142,Variable set for combination EBA_432142,EBA_432142,Variable set for combination EBA_432142
ECB6,ECB6_EBA_432130,Variable set for combination EBA_432130,EBA_432130,Variable set for combination EBA_432130
ECB6,ECB6_EBA_432759,Variable set for combination EBA_432759,EBA_432759,Variable set for combination EBA_432759
ECB6,ECB6_EBA_433110,Variable set for combination EBA_433110,EBA_433110,Variable set for combination EBA_433110
ECB6,ECB6_EBA_433130,Variable set for combination EBA_433130,EBA_433130,Variable set for combination EBA_433130
ECB6,ECB6_EBA_433150,Variable set for combination EBA_433150,EBA_433150,Variable set for combination EBA_433150
ECB6,ECB6_EBA_431486,Variable set for combination EBA_431486,EBA_431486,Variable set for combination EBA_431486
ECB6,ECB6_EBA_431506,Variable set for combination EBA_431506,EBA_431506,Variable set for combination EBA_431506
ECB6,ECB6_EBA_431349,Variable set for combination EBA_431349,EBA_431349,Variable set for combination EBA_431349
ECB6,ECB6_EBA_431527,Variable set for combination EBA_431527,EBA_431527,Variable set for combination EBA_431527
ECB6,ECB6_EBA_432463,Variable set for combination EBA_432463,EBA_432463,Variable set for combination EBA_432463
ECB6,ECB6_EBA_432498,Variable set for combination EBA_432498,EBA_432498,Variable set for combination EBA_432498
ECB6,ECB6_EBA_432274,Variable set for combination EBA_432274,EBA_432274,Variable set for combination EBA_432274
ECB6,ECB6_EBA_432072,Variable set for combination EBA_432072,EBA_432072,Variable set for combination EBA_432072
ECB6,ECB6_EBA_432060,Variable set for combination EBA_432060,EBA_432060,Variable set for combination EBA_432060
ECB6,ECB6_EBA_432725,Variable set for combination EBA_432725,EBA_432725,Variable set for combination EBA_432725
ECB6,ECB6_EBA_433211,Variable set for combination EBA_433211,EBA_433211,Variable set for combination EBA_433211
ECB6,ECB6_EBA_433231,Variable set for combination EBA_433231,EBA_433231,Variable set for combination EBA_433231
ECB6,ECB6_EBA_433253,Variable set for combination EBA_433253,EBA_433253,Variable set for combination EBA_433253
ECB6,ECB6_EBA_431715,Variable set for combination EBA_431715,EBA_431715,Variable set for combination EBA_431715
ECB6,ECB6_EBA_431735,Variable set for combination EBA_431735,EBA_431735,Variable set for combination EBA_431735
ECB6,ECB6_EBA_431580,Variable set for combination EBA_431580,EBA_431580,Variable set for combination EBA_431580
ECB6,ECB6_EBA_432545,Variable set for combination EBA_432545,EBA_432545,Variable set for combination EBA_432545
ECB6,ECB6_EBA_432581,Variable set for combination EBA_432581,EBA_432581,Variable set for combination EBA_432581
ECB6,ECB6_EBA_432325,Variable set for combination EBA_432325,EBA_432325,Variable set for combination EBA_432325
ECB6,ECB6_EBA_432169,Variable set for combination EBA_432169,EBA_432169,Variable set for combination EBA_432169
